Company,Latitude,Longitude,Employees,Annual Sales,Year Established,Business Description,Brand Names,Primary SIC Code,Primary SIC Code Description,NAICS Code,NAICS Code Description
"Gro Alliance, LLC",42.611514,-90.434429,25,$6Mil-$10Mil,1941,Seed corn & soybean processing,,2046,Wet corn milling,311200,Grain and Oilseed Milling
Haas Factory Outlet Milwaukee,43.078962,-88.184586,25,$10Mil,2001,"Distributor of machine tools, including CNC, horizontal & vertical machining centers, gantry & sheet routers, toolroom equipment, drill taps, Swiss lathes & automation","Haas CNC Machines, Nomura Swiss, BTB Transfer, Euroturn Multi Spindle, IFP Parts Washer",5084,Industrial machinery and equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
Hafemeister Machine Corp.,44.188487,-88.474057,25,$8.4Mil (est),1937,Industrial paper machinery & general machining job shop,,3554,Paper industries machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"Hard and Soft Fishing, LLC",42.915982,-88.855583,25,$17Mil,1922,Fishing equipment,"Acme Tackle, Beaver Dam Tip-Up, Uncle Josh, Little Stinker, Bass Stalker, Sizmic, Kalin's, Atom, Reef Runner, Moonshine Lures, Elliott, 2B Fishing",3949,Sporting and athletic goods,339920,Sporting and Athletic Goods Manufacturing
"Hatch Building Supply Co., Inc.",43.066668,-89.293533,25,$10Mil (est),,Distributor of concrete building materials,,5031,"Lumber, plywood and millwork",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
"Hatz Americas, Inc.",43.053564,-88.204839,25,$3.9Mil,1977,4-HP to 74-HP air & liquid-cooled diesel engines & 3-cylinder & 4-cylinder H50 liquid-cooled engines,,3519,Engines-internal combustion,333618,Other Engine Equipment Manufacturing
"Hexion, Inc.",43.728458,-87.737333,25,$1Mil-$2.5Mil,1964,"Resins, formaldehyde & industrial adhesives","Casco, Cascophen",2821,Plastic materials and resins,325211,Plastics Material and Resin Manufacturing
Highfield Manufacturing,42.950649,-87.872883,25,$7.2Mil (est),1930,"Security locking devices & systems for the electric, gas & water utility industries, including electronic smart padlocks, electric meter locking rings, gas/water valve locking devices & vending machine locks","Multi-MAXX, Paladin, Armor Ring, Field Guard, Revpro, Speedy Lock, e-lectroloc, e-Lectrosoft",3429,Hardware,334290,Other Communications Equipment Manufacturing
Highline Corp.,46.446263,-90.196441,25,$1Mil-$2.5Mil,1966,Contract assembly & packaging,,3999,Manufacturing industries,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
"Hillestad Pharmaceuticals, Inc.",45.901145,-89.697329,25,$9.6Mil (est),1959,"Natural vitamins, minerals & nutritional supplements, personal care & home care products","Summit Gold, Dialyvite RX, Dialyvite 3000 RX, Dialyvite 5000 RX, Dialyvite 800, Dialyvite 800 with Zinc, Dialyvite 800 Ultra D, Ferrimin 150",2834,Pharmaceutical preparations,325412,Pharmaceutical Preparation Manufacturing
HMI,44.086004,-87.705104,25,$8.1Mil (est),1979,Hydraulic mud pumps,,3561,Pumps and pumping equipment,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
Hometown Publications,43.205477,-88.158168,25,$3.4Mil (est),1994,"Newspaper publishing, printing & promotional products",,2711,Newspapers,513110,Newspaper Publishers
"Hood Equipment, Inc.",46.574199,-91.428439,25,$8.9Mil,1965,"Logging equipment for the forestry, waste management & storm clean-up industries, including loaders, slashers, grapples & material handlers",,3531,Construction machinery,333120,Construction Machinery Manufacturing
"Hydra-Seal, Inc. & Superior Piston Ring",43.126346,-88.096688,25,"$500,000-$1Mil",1978,"Industrial piston rings for hydraulic cylinders, grass molding machines & die cast machine plungers, including hydraulic pistons & rod glands, retaining rings & hydraulic repair","Hydracast, Hydratemp",3592,"Carburetors, pistons, rings and valves",336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
Hydro-Platers Inc.,43.136474,-87.956558,25,$1Mil-$5Mil,1970,"Industrial hard chrome plating, polishing & grinding, including electroless nickel plating, high & mid phosphate & sulfamate nickel",,3471,Plating and polishing,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
"Hypneumat, Inc.",42.864174,-87.990035,25,$5Mil,1950,"High-speed drilling & tapping units, multi-spindle drill heads, special machines & multi-axis precision machining services","Hypneumat, Commander Multi-Drill, Snow",3541,"Machine tools, metal cutting types",333517,Machine Tool Manufacturing
"ICS Cutting Tools, Inc.",44.557902,-87.624012,25,$6.6Mil (est),1980,Cutting tools,,3541,"Machine tools, metal cutting types",333517,Machine Tool Manufacturing
"Ideal Pase, a Massman Company",43.14446,-89.352618,25,$7.4Mil (est),1949,"High-performance packaging equipment for the paint & coating, chemicals, personal care, food & beverage & agricultural products industries, including conveyors, volumetric fillers, net weight liquid fillers, drum fillers & lid placers & closers",Ideal Pase,3565,Packaging machinery,333993,Packaging Machinery Manufacturing
IKS Industries,45.925633,-90.461207,25,$2.6Mil-$5Mil,2005,Welding & general machining job shop,,3599,Industrial machinery,332710,Machine Shops
"Immuno-Dynamics, Inc.",42.976162,-90.631774,25,$7.1Mil (est),1979,Natural animal feed additives & veterinary biologics for nonresidue health enhancement,"ID-1, VitaPak Dairy, VitaPak Grow",2836,"Biological products, except diagnostic",325414,Biological Product (except Diagnostic) Manufacturing
"Imperia Foods, Inc.",42.965767,-90.431897,25,$2Mil,2009,"Food products for the retail, wholesale & foodservice markets & restaurants",,2099,Food preparations,311513,Cheese Manufacturing
"IMR, Inc.",45.539574,-90.28052,25,$2Mil-$5Mil,1987,Machine parts & metal fabrication,"IMR Tie Exchanger ST-48, IMR Panel Carrier",3599,Industrial machinery,332710,Machine Shops
"Industrial Engraving, LLC",44.615858,-88.19134,25,$8.4Mil (est),1958,Embossing rolls & converting equipment,,3554,Paper industries machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"Industrial Service & Machine, Inc.",44.914946,-89.608741,25,$1Mil-$5Mil,1961,Filament winding machines,McClean Anderson,3559,Machinery-special industry,333249,Other Industrial Machinery Manufacturing
Intertractor America Corp.,42.657165,-88.536072,25,$56Mil,1973,Undercarriages & wear parts for construction equipment,"Itrac, ITM, SOREFA",3531,Construction machinery,333120,Construction Machinery Manufacturing
J. H. Larson Electrical Co.,44.960816,-92.732212,25,$10Mil (est),1931,"Distributor of plumbing, heating & electrical supplies, including PVC pipe & fittings, switches & bulbs","GE, Lithonia, TOTO, Pass & Seymour, Siemens",5074,Plumbing and hydronic heating supplies,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
"J.N.B. Signs, Inc.",42.640045,-89.009854,25,"$500,000-$1Mil",1991,"Signs, including design, installation & service",,3993,Signs and advertising specialties,339950,Sign Manufacturing
"Jacquet Midwest, Inc.",42.708226,-87.80274,25,$4.3Mil (est),,Stainless steel & nickel alloy waterjet & plasma cutting & sawing,,3599,Industrial machinery,332710,Machine Shops
"James Grezenski Forest Products, Inc.",44.53891,-89.523076,25,over $2.5Mil,1966,Lumber processing,,2421,"Sawmills and planing mills, general",321113,Sawmills
"JEL Manufacturing, LLC",42.988675,-87.911617,25,$3Mil,2017,Concrete batching equipment,,3531,Construction machinery,333120,Construction Machinery Manufacturing
"JW Industries, Inc.",44.587183,-88.189406,25,$6.6Mil (est),1957,"Custom metal fabrication of spectator seating for stadiums, bleachers & grandstands, dugouts, foul line poles, goal posts, press boxes, player benches & tennis bounding boards",,2531,Furniture-public building and related,337127,Institutional Furniture Manufacturing
Kage Innovation,45.309043,-92.676574,25,$5Mil-$6Mil,2000,"Groundskeeping equipment, including professional-grade lawnmowers & snowplow attachments",,3524,Lawn and garden equipment,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
Kersten Log and Lumber LLC,44.927172,-89.205169,25,$2.6Mil-$5Mil,1965,Lumber processing,,2421,"Sawmills and planing mills, general",321113,Sawmills
Kingchem Laboratories,42.968619,-87.890915,25,$9.8Mil (est),2018,"Contract manufacturing of small molecule APIs, intermediates, RSMs, active ingredients & specialty chemicals for pharmaceutical & chemical manufacturing processes",,2899,Chemical preparations,325412,Pharmaceutical Preparation Manufacturing
Kiriworks,43.050718,-87.910371,25,"$500,000-$1Mil",1969,"Document to film, CD & DVD conversion",,3695,Magnetic and optical recording media,334610,Manufacturing and Reproducing Magnetic and Optical Media
"KNG Mechanical, Inc.",44.96624,-91.364918,25,"$500,000-$1Mil",1972,Industrial pipe fabrication & mechanical contractor,,3498,Pipe and fittings-fabricated,332996,Fabricated Pipe and Pipe Fitting Manufacturing
"Komro Sales & Service, Inc.",44.667628,-91.883971,25,$9.8Mil (est),1960,"Distributor of new & rebuilt farm & garden equipment, including mixers & lawn mowers",,5083,Farm and garden machinery,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
"Konrad Marine, Inc.",44.953089,-92.738173,25,$2.6Mil-$5Mil,1991,"Marine stern drives for military, commercial, high-performance & recreational applications",,3568,Power transmission equipment,333613,Mechanical Power Transmission Equipment Manufacturing
"Koxlien Brothers Wood Products, Inc.",44.55099,-91.367225,25,$1Mil-$2.5Mil,1983,Lumber processing,,2421,"Sawmills and planing mills, general",321113,Sawmills
"Kramer Marketing, Inc.",43.158227,-89.404158,25,$5Mil,1936,"Marketing services, including digital & offset printing, direct mail, fulfillment, graphic design & brand strategy services, branded promotional products & company stores",,2759,Printing-commercial,323111,Commercial Printing (except Screen and Books)
"Krukowski Stone Co., Inc.",44.714243,-89.524188,25,$5.1Mil,1978,"Natural stone quarrying, including full & thin veneer stones, custom cut stone, cladding panels, slabs, landscape stone, pavers, outcroppings, boulders, steps & pool copings",,1411,Dimension stone,212311,Dimension Stone Mining and Quarrying
K-Sun Corp.,45.133163,-92.66495,25,$10Mil,1978,"Portable & handheld electronic thermal transfer label printers, safety identification software development & labeling supplies for the electrical, telecom, home, office, hospital, laboratory, industrial, safety, school & government sectors",,3577,Computer peripheral equipment,333993,Packaging Machinery Manufacturing
"L. F. George, Inc.",43.022155,-88.204676,25,$1Mil-$5Mil,1952,Wholesaler of construction equipment,,5039,Construction materials,423390,Other Construction Material Merchant Wholesalers
"La Crosse Glass Co., Inc.",43.80751,-91.253899,25,$1Mil-$2.5Mil,1898,"Commercial & residential glass fabrication & distributor of overhead garage doors & operators, including storefronts, custom glass products, shower enclosures & glazing & installation services","Kawneer, Efco, YKK, Manko, CHI, Liftmaster",3231,Glass products from purchased glass,327215,Glass Product Manufacturing Made of Purchased Glass
"LaBudde Group, Inc.",43.296186,-87.988841,25,$50Mil,1907,Corporate headquarters & specialty animal feed ingredient processing & distributor of animal feed,,2048,Feeds-prepared,311119,Other Animal Food Manufacturing
"LaClare Creamery, LLC",43.921211,-88.30772,25,$1Mil-$2.5Mil,1978,Goat's cheese,,2022,"Cheese, natural and processed",311513,Cheese Manufacturing
"Lacro Products, Inc.",43.847815,-91.24357,25,$7.2Mil (est),1959,"Wire harnesses, including electronic subassemblies",,3679,Electronic components,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
"LaGrander's Hillside Dairy, Inc.",44.901023,-90.881315,25,$1Mil-$2.5Mil,1960,Cheese & cheese products,,2022,"Cheese, natural and processed",311513,Cheese Manufacturing
"Lakeland Co., Inc.",45.57286,-92.017301,25,"$500,000-$1Mil",1988,Sheet & plate metal fabrication,,3444,Sheet metal work,331110,Iron and Steel Mills and Ferroalloy Manufacturing
"Lance Industries Holdings, LLC",43.423059,-88.413615,25,$7.1Mil (est),,"Marinating machines, meat tumblers & hot water shrink tanks",Lance,3556,Food products machinery,333241,Food Product Machinery Manufacturing
Lannon Tank Company LLC,43.152186,-88.161552,25,over $10Mil,1968,"Custom manufacturing of liquid storing products & fabricated steel & fiberglass-jacketed storage tanks, including aboveground tanks (ASTs), underground tanks (USTs), lube oil tanks, custom tanks, water tanks, vessels & silos","ELUTRON, FIREGUARD, FLAMESHIELD, ACT-100, F-921, Steel Tank Institute, UL-142, UL-2085",3443,Plate work-fabricated (boiler shops),333922,Conveyor and Conveying Equipment Manufacturing
"Larson-Juhl, LLC",46.606795,-90.832602,25,$8Mil,1957,Picture frame mouldings,Larson-Juhl,2499,Wood products,321918,Other Millwork (including Flooring)
"LBC Optics, Inc.",42.995627,-88.123701,25,$4.7Mil (est),1988,Optical lenses,,3851,Ophthalmic goods,339100,Medical Equipment and Supplies Manufacturing
"Leon's Custard Equipment, LLC",42.987801,-87.948654,25,$7.1Mil (est),1942,Frozen custard equipment,,3556,Food products machinery,333241,Food Product Machinery Manufacturing
"Lodi Canning Co., Inc.",43.309688,-89.529872,25,"under $500,000",1917,Canned vegetables,,2033,Canned fruits and vegetables,311421,Fruit and Vegetable Canning
M & M Office Interiors,43.102621,-89.539105,25,$13Mil (est),1994,Distributor of office furniture & installation services,"Haworth, Office Furniture USA",5021,Furniture,423210,Furniture Merchant Wholesalers
"M.P. Metal Products, Inc.",43.140799,-88.595211,25,$6.2Mil,1964,"Custom roll forming of metal parts, shapes, moldings, angles, hats, trims, rings, panels & channels for OEM applications, including stamping, TIG, MIG & plastic welding, press braking, assembly & packaging",,3449,Metal work-miscellaneous,332114,Custom Roll Forming
"Machine Tool Technologies, Inc.",43.168924,-88.019288,25,$1Mil-$2.5Mil,1984,Wholesaler of metal fabrication equipment,,5084,Industrial machinery and equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
"Machining & Repair Services, LLC",44.228439,-88.469723,25,$1Mil-$2.5Mil,2001,CNC machining job shop,,3599,Industrial machinery,332710,Machine Shops
"Mad City Labs, Inc.",43.037456,-89.42335,25,$13Mil,1999,"Nanopositioning systems & controls, microscopy instruments & microscopes, atomic force microscopes, micropositioners & fluorescence microscopes","Nano-Drive, QS-PLL, MadPLL, RM21 Microscope, TIRF-Lock, Micro-Drive, MadAFM, Nano-Cyte, Nano-Route, AFMView, Nano-View, PicoQ, Mad-Deck, MadView",3821,Laboratory apparatus and furniture,334516,Analytical Laboratory Instrument Manufacturing
"Madison Forms,LLC",43.033738,-89.298129,25,$2.6Mil-$5Mil,1985,"1-color to 6-color business form & document printing, including snap-apart, continuous & cut-sheet forms, direct mail shells, laser check shells & pocket forms",,2761,Business forms-manifold,323111,Commercial Printing (except Screen and Books)
"Meisters Forest Products, Inc.",43.709633,-89.470782,25,$2.5Mil-$5Mil,1993,"Corporate headquarters & pallet lumber, wood chips & colored mulch",,2421,"Sawmills and planing mills, general",321920,Wood Container and Pallet Manufacturing
"Metal Crafters, Inc.",44.511011,-89.529687,25,$4.7Mil (est),1993,"Metal fabrication, tool & die & general & CNC machining job shop & antique automotive engine rebuilding",,3499,Metal products-fabricated,333500,Metalworking Machinery Manufacturing
Metal Forms Corp.,43.079033,-87.903351,25,"$500,000-$1Mil",1909,"Concrete forming systems, nail & stringline stakes & form pins",,3444,Sheet metal work,332322,Sheet Metal Work Manufacturing
MGS Automation,43.23366,-88.149242,25,over $165Mil,1998,"Plastic injection specialty molding equipment, including turnkey automation systems",Universal Multishot Systems ,3559,Machinery-special industry,333511,Industrial Mold Manufacturing
Midwest Die Casting Corp.,43.088938,-87.910485,25,$9Mil,1927,Corporate headquarters & zinc die castings & machining,,3369,Foundries-nonferrous,331529,Other Nonferrous Metal Foundries (except Die-Casting)
Midwest Machinery Co.,45.343101,-92.66097,25,$11Mil-$25Mil,1978,Distributor of new & rebuilt lawn & garden equipment,John Deere,5083,Farm and garden machinery,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
"Miller-Bradford & Risberg, Inc.",43.142898,-88.243448,25,$11Mil (est),1944,Corporate headquarters & wholesaler of construction equipment & equipment rental services,"Case, BLC, Hensley, Midland",5082,Construction and mining machinery,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
"Milwaukee Tool & Equipment Co., Inc.",42.994655,-87.951881,25,$1Mil-$5Mil,1877,"Hand tools, vises & jacks & malleable, grey & ductile castings","Morgan, Red-I-Post, Milwaukee",3423,Tools-hand and edge,332216,Saw Blade and Handtool Manufacturing
Miner Ltd.,44.461013,-88.082674,25,$20Mil,1978,"Distributor of material handling & loading dock equipment, including mechanical & hydraulic dock levelers, dock seals, truck locks, HVLS fans, lift tables, freight lifts, mezzanines & high-speed roll-up, traffic, cooler, freezer & strip doors",,5084,Industrial machinery and equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
"Mirus Bio, LLC",43.056322,-89.47702,25,$7.1Mil (est),1995,Transfection reagents used for research in the life science market,,2836,"Biological products, except diagnostic",325414,Biological Product (except Diagnostic) Manufacturing
"Mitchell Furniture System, Inc.",43.035085,-87.934191,25,$1Mil-$5Mil,1946,Corporate headquarters & school & medical furniture,,2531,Furniture-public building and related,337214,Office Furniture (except Wood) Manufacturing
"MoldRite Products, Inc.",43.073406,-88.198912,25,$5.6Mil (est),1974,Polyurethane foam molded displays & industrial molded products,,2542,"Partitions and fixtures, except wood",326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
Monarch-McLaren Ltd.,42.652993,-88.534221,25,$1Mil-$5Mil,1984,"Precision-cut leather seals, packings & gaskets for pneumatic, hydraulic, water & custom applications & custom leather promotional products for branding & marketing campaigns","Clayton Mark, C F Adams, Hercules, E.F. Houghton, Trostel Leathers, Format Folios",3053,"Gaskets, packing and sealing devices",339991,"Gasket, Packing, and Sealing Device Manufacturing"
"N. H. Machining, Inc.",42.974618,-88.229933,25,$1Mil-$2.5Mil,1983,Brewery machine replacement parts,,3556,Food products machinery,333241,Food Product Machinery Manufacturing
"Nelson Freight Service, Inc.",45.055622,-87.725829,25,$6.8Mil (est),1987,Freight trucking services,,4212,"Local trucking, without storage",484110,Local Freight Trucking
Nelson-Young Lumber Co.,42.832487,-89.068271,25,"$500,000-$1Mil",1913,Company headquarters; wooden roof trusses,,2439,Structural wood members,321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
"Neo Brake Systems, Inc.",42.920151,-87.927412,25,"$500,000-$1Mil",1988,Rebuilt brakes,,3714,Motor vehicle parts and accessories,336390,Other Motor Vehicle Parts Manufacturing
"Neumann Co., Inc.",43.105853,-88.486713,25,$5.6Mil (est),1956,"Plastic laminate countertops, cabinets & millwork",,2542,"Partitions and fixtures, except wood",337110,Wood Kitchen Cabinet and Countertop Manufacturing
"Nicholson Manufacturing, Inc.",43.136896,-88.596157,25,"$500,000-$1Mil",1988,Industrial vacuum cleaners,,3589,Service industry machinery,333310,Commercial and Service Industry Machinery Manufacturing
NORAM/North American Clutch Corp.,43.096077,-87.92625,25,$6Mil-$10Mil,1961,"Centrifugal clutches, including clutch brakes, speed reducing gearboxes, sprockets, pulleys, copper brazing & powder metal products","Noram, Tri-Lobe, Pac Actvator",3568,Power transmission equipment,333613,Mechanical Power Transmission Equipment Manufacturing
Norse Building Products,43.421293,-88.345053,25,$3.8Mil (est),2000,Stone veneer,,3281,Cut stone and stone products,327991,Cut Stone and Stone Product Manufacturing
North Central Laboratories,44.931349,-89.200705,25,$1Mil-$5Mil,1982,"Distributor of water & wastewater treatment laboratory equipment, including testing formulas, seed capsules, sterilizers, meters & probes",,5049,Professional equipment,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
"Northwest Petroleum Service, LLC",45.009029,-89.6626,25,$6.7Mil (est),1973,"Distributor of automotive fuel station equipment, including lubrication systems, lift equipment, alignment racks & EV chargers for service stations, airports, truck stops, municipalities & industrial facilities & installation & repair services",,5013,Motor vehicle supplies and new parts,423830,Industrial Machinery and Equipment Merchant Wholesalers
"Oakfield Stone Co., Inc.",43.690356,-88.445125,25,$3.8Mil (est),1971,Natural stone products,,3281,Cut stone and stone products,327991,Cut Stone and Stone Product Manufacturing
"Osseo Precision Machining, LLC",44.578092,-91.224264,25,$4.3Mil (est),2013,"Precision & CNC machining, prototyping & custom tooling job shop",,3599,Industrial machinery,332710,Machine Shops
P.W. Walsh & Co.,43.338235,-88.173233,25,"$500,000-$1Mil",1915,Machinery moving & rigging services,,4212,"Local trucking, without storage",488490,Other Support Activities for Road Transportation
Paper Dimensions LLC,43.475411,-88.833536,25,$4Mil,1972,"Contract slitting/rewinding services of paper, paperboard & nonwovens",,2679,Converted paper products,322220,Paper Bag and Coated and Treated Paper Manufacturing
"Parco Manufacturing, Inc.",44.853377,-91.543309,25,$6Mil (est),1987,Replacement vinyl windows,,3089,Plastic products,326199,All Other Plastics Product Manufacturing
PerMar Ltd.,44.214763,-89.812053,25,$5.1Mil,2002,"Phenolic resin laboratory surfaces, shelving, countertops, pegboards, windowsills, wall cladding, toilet partitions, lockers & cabinet components",,2542,"Partitions and fixtures, except wood",326199,All Other Plastics Product Manufacturing
Peshtigo Times,45.052259,-87.730833,25,"$500,000-$1Mil",1871,Newspaper publishing & printing,,2711,Newspapers,513110,Newspaper Publishers
Petron Corp.,42.997698,-88.122269,25,$1Mil-$2.5Mil,,Engineered lubricants for the mining industry,,2992,Lubricating oils and greases,324191,Petroleum Lubricating Oil and Grease Manufacturing
Pigeon Creek Hardwoods,44.392032,-91.259676,25,$6.3Mil (est),2002,Hardwood lumber processing,,2426,Hardwood dimension and flooring mills,321211,Hardwood Veneer and Plywood Manufacturing
"Pinnacle Woodwork Acquistions, LLC",43.225158,-88.149347,25,$5Mil,2006,Custom wooden store fixtures & architectural millwork & project management & installation services,,2541,Partitions and fixtures-wood,337121,Upholstered Household Furniture Manufacturing
"Point Ready Mix, LLC",42.625414,-87.953227,25,$2.6Mil-$5Mil,2007,Ready-mixed concrete,,3273,Concrete-ready-mixed,327320,Ready-Mix Concrete Manufacturing
"Port To Port Custom Pallets, Inc.",44.358335,-89.864425,25,"$500,000-$1Mil",1957,Skids & pallets,,2448,Pallets and skids-wood,321920,Wood Container and Pallet Manufacturing
PPG Industries,42.60101,-88.722394,25,"$500,000-$1Mil",2001,"Synthetic papers & plastic films for printers, including print top coating, film-to-film laminations, slitting & sheeting",,2672,Paper coated and laminated,322220,Paper Bag and Coated and Treated Paper Manufacturing
"Prairie Plastics Holdings, LLC",43.205028,-89.200357,25,$7Mil-$9Mil,1998,"Heavy gage plastic thermoforming & CNC machining job shop, including pressure forming, twin-sheet, returnable packaging, OEM products & in-house design & mold construction",,3089,Plastic products,326199,All Other Plastics Product Manufacturing
"Precision Pattern Co., Inc.",43.027242,-88.232384,25,$2.5Mil-$3.5Mil,1947,"CNC machined pattern tooling, custom-designed fixtures, gages & special machinery & service components for die-casting machines",,3544,"Dies, tools, jigs and fixtures-special",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
"Preferred Sands Of Wisconsin, LLC",44.319617,-91.259888,25,$6.5Mil (est),2012,Silica sand processing,,1446,Industrial sand,212322,Industrial Sand Mining
Premier Plastics,42.868886,-87.972095,25,$6Mil (est),1958,Plastic vacuum forming,,3089,Plastic products,326199,All Other Plastics Product Manufacturing
"Prestige Metal Products, Inc.",42.55755,-88.040757,25,$1Mil-$5Mil,1945,"Custom sheet metal fabrication, including cold-rolled steel, stainless steel & aluminum",,3444,Sheet metal work,332322,Sheet Metal Work Manufacturing
"Pro Engineering & Manufacturing, Inc.",43.174192,-88.049885,25,$5Mil-$10Mil,1976,"Steel & aluminum sheet metal fabrication of handrails, platforms, stairways & food & beverage equipment, including custom automation & engineered solutions, design/build, service & craft brewing consulting",,3499,Metal products-fabricated,332322,Sheet Metal Work Manufacturing
"Pro-Cise, Inc.",44.869105,-91.451064,25,$1Mil-$2.5Mil,1995,"CNC contract machining job shop, including moldmaking, prototypes, production & medium-to-heavy machining, welding & painting",,3599,Industrial machinery,332710,Machine Shops
Professional Control Corp.,43.22636,-88.141607,25,"under $500,000",1980,Corporate headquarters & distributor of industrial automation & control hardware & software,"Carlo Gavazzi, FerrazShawmut, Hammond Mfg., HellermanTyton, Leuze, Molex, Siemens, Stober, WAGO, Woodhead, Yaskawa",5084,Industrial machinery and equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
"Pure Sweet Honey Farm, Inc.",42.985646,-89.544675,25,"$500,000-$1Mil",1975,Honey processing,,2099,Food preparations,311230,Canned Fruits and Vegetables Manufacturing
QCO LLC,43.100432,-89.537147,25,$1Mil-$5Mil,1965,"Custom pool cues, shafts & accessories","Viking®, Valhalla®, ViKORE®, eXactshot®, InViktus®, Triple-60, Whyte Carbon",3949,Sporting and athletic goods,339920,Sporting and Athletic Goods Manufacturing
"Quality Tool Service, Inc.",45.727541,-91.931781,25,$1Mil-$4Mil,1998,"Large metal stamping tools & robotic welding & inspection fixtures, including wire EDM & precision CNC machining",,3542,"Machine tools, metal forming types",333517,Machine Tool Manufacturing
R2 Quality Castings LLC,42.997476,-88.256018,25,$1Mil-$5Mil,1983,Ferrous & nonferrous investment castings & industrial propellers & mixers,Mixing Propellers,3325,Foundries-steel,331513,Steel Foundries (except Investment)
"Ralph Hamel Forest Products, Inc.",44.441405,-89.964602,25,$10Mil-$25Mil,1964,Corporate headquarters & lumber processing & millwork,,2431,Millwork,321918,Other Millwork (including Flooring)
"Rapco Fleet Support, Inc (RFS, Inc)",43.096353,-88.351115,25,$10Mil,1987,Corporate & commuter aircraft brake wear parts & overhauls,,3728,Aircraft parts and equipment,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
"RAPCO, Inc.",43.095072,-88.350197,25,$5.7Mil (est),1981,"FAA-PMA approved replacement parts for general aviation aircraft, including vacuum & fuel boost pumps, electric aircraft clutches, harnesses, propeller de-icing components, brakes, pneumatic systems, filters & gaskets",,3728,Aircraft parts and equipment,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
"Rapid Die & Molding Co., LLC",42.710352,-90.983388,25,$8.3Mil (est),1965,Loudspeaker components,,3651,Audio and video equipment-household,334310,Audio and Video Equipment Manufacturing
RCS Innovations,43.159464,-87.997972,25,$5.1Mil (est),1988,"Custom retail, commercial, office & home fixtures & furniture, including interior design & installation services",,2541,Partitions and fixtures-wood,337110,Wood Kitchen Cabinet and Countertop Manufacturing
Rebel Converting,43.39527,-87.954211,25,$7.3Mil (est),2012,"Wet wipes & fabric PPE-type face masks for the industrial, medical, institutional & retail markets",,2842,Polishes and sanitation goods,325612,Polish and Other Sanitation Good Manufacturing
"Recycled Office Environments, Inc.",44.511277,-89.52045,25,$5Mil,1993,"Manufacturer of custom office furniture & distributor of used & remanufactured office furniture, including office interior space design, laminating, painting, finishing, installation, rental, moving, storage & decommission services","Recycled Office Environments, Segmented Systems, Resource One Installation and Services",2521,Office furniture-wood,337211,Wood Office Furniture Manufacturing
"Regina USA, Inc.",42.909117,-87.908714,25,$1Mil-$2.5Mil,1986,"Corporate headquarters & motorcycle, all-terrain vehicle, transmission & conveyor chains, belts & components",,3751,"Motorcycles, bicycles and parts",336991,"Motorcycle, Bicycle, and Parts Manufacturing"
"Remy Battery Co., Inc.",43.002511,-87.968043,25,$10Mil-$15Mil,1931,"Corporate headquarters & distributor of full-line branded automotive, commercial, lawn & garden, marine & motorcycle batteries",,5063,Electrical apparatus and equipment,335910,Battery Manufacturing
"Revolution, LLC",44.991274,-92.655991,25,$40Mil,1994,Co-extruded polyethylene film,,3081,Plastic film and sheet-unsupported,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
"Riesterer & Schnell, Inc.",43.587528,-88.365574,25,"$500,000-$1Mil",1937,Rebuilt farm & lawn & garden implements,,3523,Farm machinery and equipment,333111,Farm Machinery and Equipment Manufacturing
"Riesterer & Schnell, Inc.",44.025019,-88.023604,25,$9.8Mil (est),1931,"Wholesaler of agricultural turf & farming equipment & supplies, including tractors, sprayers, disc mowers & corn harvesting equipment",,5083,Farm and garden machinery,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
Ripon Printers,43.00853,-88.112021,25,$2.5Mil-$5Mil,2012,"Digital printing of catalogs, direct mail materials, publications & marketing communications",,2759,Printing-commercial,323111,Commercial Printing (except Screen and Books)
